state,state_po,year,democrat,republican
Massachusetts,MA,2004,0.7036774262969029,0.2842902557664535
Massachusetts,MA,2006,0.7274630264703064,0.25969116958467725
Massachusetts,MA,2008,0.7237452847974296,0.2516923145013866
Massachusetts,MA,2010,0.600532762655361,0.38737991800037863
Massachusetts,MA,2012,0.653412666808199,0.3142833202163647
Massachusetts,MA,2014,0.67470707050383,0.39857153927621214
Massachusetts,MA,2016,0.6938905250708758,0.29009522988864234
Massachusetts,MA,2018,0.7821060963405218,0.3247278843024898
Michigan,MI,1976,0.5531169632663908,0.43798329670637065
Michigan,MI,1978,0.5683473217629336,0.4431696493917706
Michigan,MI,1980,0.5499932911034172,0.4837944555689983
Michigan,MI,1982,0.5944710470243725,0.4497440786832597
Michigan,MI,1984,0.5391787948261554,0.4953090109979036
Michigan,MI,1986,0.5766792026043582,0.4198745604114171
Michigan,MI,1988,0.5277475680572203,0.48341222806017764
Michigan,MI,1990,0.5429952552340558,0.46634184391212063
Michigan,MI,1992,0.512704557239849,0.47761290473722734
Michigan,MI,1994,0.4722301215354667,0.5101719105156916
Michigan,MI,1996,0.5257685561580585,0.4537652649620888
Michigan,MI,1998,0.5218636905514642,0.48179924314115513
Michigan,MI,2000,0.5350859776983826,0.4390981064757252
Michigan,MI,2002,0.4932018323916022,0.5359444808201215
Michigan,MI,2004,0.48418823193083455,0.4941549175193557
Michigan,MI,2006,0.5274987069530549,0.4904164660822429
Michigan,MI,2008,0.5231349349053878,0.46324402916499235
Michigan,MI,2010,0.4429595784032119,0.5232421912290866
Michigan,MI,2012,0.5088901140026126,0.4561687147731227
Michigan,MI,2014,0.4916786886583069,0.4747564069905683
Michigan,MI,2016,0.4697119723051529,0.48029279122568325
Michigan,MI,2018,0.5235038461232969,0.4682339144766426
Minnesota,MN,1976,0.5796039406418116,0.4595552201726914
Minnesota,MN,1978,0.5116829701651886,0.5347036086748093
Minnesota,MN,1980,0.4755036056764797,0.5182110679070383
Minnesota,MN,1982,0.5464906902043566,0.4443512344201
Minnesota,MN,1984,0.5369945617151428,0.4567430328144782
Minnesota,MN,1986,0.5970936272155493,0.40040590435044177
Minnesota,MN,1988,0.0,0.4111665794859554
Minnesota,MN,1990,0.0,0.41354907974426675
Minnesota,MN,1994,0.0,0.48441847762363555
Minnesota,MN,1996,0.5510242777935528,0.4179438225755832
Minnesota,MN,1998,0.0,0.42310783029834725
Minnesota,MN,2000,0.0,0.4202542752200117
Minnesota,MN,2002,0.27876428846322643,0.428397938512244
Minnesota,MN,2004,0.0,0.4541656424834505
Minnesota,MN,2006,0.6744594738523805,0.4243446686376249
Minnesota,MN,2008,0.0,0.3814349746343949
Minnesota,MN,2010,0.5512843823509028,0.4643136440839699
Minnesota,MN,2012,0.6379483591215007,0.43023257053874286
Minnesota,MN,2014,0.589868809164836,0.4652512631529091
Minnesota,MN,2016,0.5611529755330543,0.46660751387311306
Minnesota,MN,2018,0.0,0.4367616402974626
Mississippi,MS,1976,0.5896395816117812,0.4727042963907223
Mississippi,MS,1978,0.596414278398422,0.45528276691312064
Mississippi,MS,1980,0.5425032053842846,0.4609845537047187
Mississippi,MS,1982,0.5746133401546015,0.5009872935417684
Mississippi,MS,1984,0.6021290162191029,0.5874689257615547
Mississippi,MS,1986,0.6026514478677829,0.46962220195580917
Mississippi,MS,1988,0.6608239236961657,0.33498380928833843
Mississippi,MS,1990,0.812169269094876,0.2167470407715914
Mississippi,MS,1992,0.6935791448320439,0.2830264315035928
Mississippi,MS,1994,0.5714592008305405,0.4133744089734475
Mississippi,MS,1996,0.43953941321748247,0.5397195822379226
Mississippi,MS,1998,0.5830580493912673,0.5307769076704189
Mississippi,MS,2000,0.5026542911293438,0.47506791638906887
Mississippi,MS,2002,0.4724616165611036,0.4999985242814726
Mississippi,MS,2004,0.6136715017487359,0.5900261869928678
Mississippi,MS,2006,0.5927138521505315,0.506591509529763
Mississippi,MS,2008,0.5786176998245499,0.41694504908886915
Mississippi,MS,2010,0.44473456944337003,0.5371625606018142
Mississippi,MS,2012,0.449687545430796,0.5823949345086598
Mississippi,MS,2014,0.367270817000091,0.68916720578352
Mississippi,MS,2016,0.3805347834214264,0.5758483869630787
Mississippi,MS,2018,0.42471906043542307,0.656649812410456
Missouri,MO,1976,0.5674096457965077,0.4264144069037893
Missouri,MO,1978,0.6252659579629545,0.3723430888450001
Missouri,MO,1980,0.5413421633984697,0.4586578366015303
Missouri,MO,1982,0.5703172434729812,0.4275459037330151
Missouri,MO,1984,0.5538866828106161,0.4891724403178713
Missouri,MO,1986,0.5792513532014989,0.4609366350518508
Missouri,MO,1988,0.554680593917648,0.43938032621223405
Missouri,MO,1990,0.5382048157852711,0.46179518421472887
Missouri,MO,1992,0.5405387222877708,0.4412360440900519
Missouri,MO,1994,0.5065261484657027,0.47237574221246537
Missouri,MO,1996,0.5275440911522777,0.39378612033779425
Missouri,MO,1998,0.5010155096599045,0.47606634875139703
Missouri,MO,2000,0.48844520652785206,0.4883179378344028
Missouri,MO,2002,0.4473422268355594,0.5318972163341629
Missouri,MO,2004,0.44719299383619865,0.5360909898414824
Missouri,MO,2006,0.47310713376391417,0.5003266069778508
Missouri,MO,2008,0.5008059588500237,0.5164874457508771
Missouri,MO,2010,0.413995768035984,0.5744282608978615
Missouri,MO,2012,0.4183840950708173,0.5469509323965769
Missouri,MO,2014,0.3600917897529487,0.5877313586243597
Missouri,MO,2016,0.3786458498101327,0.5819920082295817
Missouri,MO,2018,0.4250593260952534,0.5503505811455695
Montana,MT,1976,0.5623439958866331,0.43765600411336686
Montana,MT,1978,0.5064177445254187,0.49358225547458134
Montana,MT,1980,0.5205750559016485,0.47942494409835146
Montana,MT,1982,0.5241123526642847,0.4497708023339936
Montana,MT,1984,0.5054701762807116,0.4819633847406756
Montana,MT,1986,0.541379592401734,0.4586204075982659
Montana,MT,1988,0.529403067217572,0.470596932782428
Montana,MT,1990,0.4950572402452163,0.5049427597547836
Montana,MT,1992,0.5045661139113528,0.4695406640494384
Montana,MT,1994,0.486668389500558,0.4223262233303894
Montana,MT,1996,0.4315152833892974,0.5241379139817914
Montana,MT,1998,0.4435908804377004,0.5300783288242231
