personal_income,state_po,year,percent_delta_prev
47859.0,MN,2012,0.05534851926172579
53215.0,MN,2016,0.01710626911314983
6409.0,MO,1976,0.08941016488186304
9370.0,MO,1980,0.07763082231167329
13103.0,MO,1984,0.10248212031973081
16162.0,MO,1988,0.05661610878661083
19578.0,MO,1992,0.054905975537475005
23321.0,MO,1996,0.04879474725670074
28001.0,MO,2000,0.06000151423379774
31456.0,MO,2004,0.045675154577488275
37054.0,MO,2008,0.046811876712715694
40131.0,MO,2012,0.04674091656016066
44336.0,MO,2016,0.028772971969556416
4887.0,MS,1976,0.12087155963302743
7166.0,MS,1980,0.08035579677370719
9514.0,MS,1984,0.08806038426349505
11744.0,MS,1988,0.07329555839883017
14888.0,MS,1992,0.06617015181896302
18386.0,MS,1996,0.05134949679780432
21640.0,MS,2000,0.04621929994198415
25192.0,MS,2004,0.05014798449289248
30479.0,MS,2008,0.037830291473712974
33308.0,MS,2012,0.035696517412935336
35618.0,MS,2016,0.01693076374018565
6337.0,MT,1976,0.06005352960856469
9142.0,MT,1980,0.10171125572427098
11698.0,MT,1984,0.0490538965115237
13356.0,MT,1988,0.03406627438835552
16971.0,MT,1992,0.04129341023438449
19411.0,MT,1996,0.03646945749679631
23094.0,MT,2000,0.057901969766376515
27922.0,MT,2004,0.0707520036814051
35253.0,MT,2008,0.03948221973226396
40319.0,MT,2012,0.056024096385542066
43722.0,MT,2016,0.0049879324215607035
5745.0,NC,1976,0.09868043602983367
8348.0,NC,1980,0.10306553911205074
11863.0,NC,1984,0.11525806148350104
15522.0,NC,1988,0.08174785699351861
19236.0,NC,1992,0.0706294873935549
23040.0,NC,1996,0.047891936144085046
27540.0,NC,2000,0.04866346812885536
30590.0,NC,2004,0.06629949804796431
37687.0,NC,2008,0.042863467817809475
38969.0,NC,2012,0.059977151561309894
42659.0,NC,2016,0.019160474950426387
6357.0,ND,1976,-0.02931745304626665
8053.0,ND,1980,-0.04641799881586739
12429.0,ND,1984,0.07396526397649694
12920.0,ND,1988,-0.06471695381497033
17849.0,ND,1992,0.0923500611995105
21627.0,ND,1996,0.11456400742115025
25955.0,ND,2000,0.09086706174084824
29834.0,ND,2004,0.010328829286464059
40384.0,ND,2008,0.11302813990022886
55421.0,ND,2012,0.15491695667576644
52519.0,ND,2016,-0.02457189554622785
6597.0,NE,1976,0.04119318181818188
9386.0,NE,1980,0.061404500735044776
13354.0,NE,1984,0.11079687240059899
16371.0,NE,1988,0.06568155188126545
19984.0,NE,1992,0.0523987571752067
24371.0,NE,1996,0.0786969415305625
29020.0,NE,2000,0.05328106852497094
33499.0,NE,2004,0.039599044161003016
40225.0,NE,2008,0.04779890596509517
46562.0,NE,2012,0.025007704838638567
49711.0,NE,2016,-0.017452662371032157
6418.0,NH,1976,0.10922917386795716
10039.0,NH,1980,0.12848471223021574
14717.0,NH,1984,0.10912653553395124
19696.0,NH,1988,0.07247481622651786
22337.0,NH,1992,0.0420320955402127
26339.0,NH,1996,0.044038370065007104
35380.0,NH,2000,0.10971708173891215
39484.0,NH,2004,0.05189684569479969
45694.0,NH,2008,0.02292366241325272
50995.0,NH,2012,0.04233096230888722
56482.0,NH,2016,0.030975632016062793
7817.0,NJ,1976,0.08524226016937386
11801.0,NJ,1980,0.12465453159249029
16708.0,NJ,1984,0.09993416721527315
22120.0,NJ,1988,0.09229173867957141
26713.0,NJ,1992,0.06545149968091901
31052.0,NJ,1996,0.04947951872380685
39257.0,NJ,2000,0.09080552391008356
43208.0,NJ,2004,0.043041641520820795
52005.0,NJ,2008,0.025274530291977904
55587.0,NJ,2012,0.035255335791708475
62727.0,NJ,2016,0.026124652380173474
5846.0,NM,1976,0.08439992580226297
8647.0,NM,1980,0.09761360751459769
11626.0,NM,1984,0.07459099731953045
13689.0,NM,1988,0.04824259131633357
16800.0,NM,1992,0.04777348135212667
19826.0,NM,1996,0.03136867294386936
23237.0,NM,2000,0.06974495902771394
27453.0,NM,2004,0.047704461321222746
33443.0,NM,2008,0.049455549628141915
35729.0,NM,2012,0.020770241700474257
38846.0,NM,2016,0.01483881080516225
7994.0,NV,1976,0.09043786659391628
11951.0,NV,1980,0.091914116034719
14760.0,NV,1984,0.06248200403109694
18458.0,NV,1988,0.08099560761346991
22554.0,NV,1992,0.06246466930469197
26667.0,NV,1996,0.050750620591828
31871.0,NV,2000,0.05212597385448303
35163.0,NV,2004,0.0656746272275428
38734.0,NV,2008,-0.03649162956145369
39659.0,NV,2012,0.028741148089543644
45001.0,NV,2016,0.02061598475914006
7510.0,NY,1976,0.06283611661477506
11001.0,NY,1980,0.11901129081476958
15749.0,NY,1984,0.10240795184096307
20827.0,NY,1988,0.0924779689467059
25061.0,NY,1992,0.049983241159711644
28936.0,NY,1996,0.04931824775166804
36028.0,NY,2000,0.06993733852047646
39185.0,NY,2004,0.04607704423503023
48328.0,NY,2008,0.01700336700336691
53986.0,NY,2012,0.04835327015690538
61251.0,NY,2016,0.035309827253980686
6752.0,OH,1976,0.09913722936675895
9924.0,OH,1980,0.09198943661971826
13286.0,OH,1984,0.10477299185098943
16508.0,OH,1988,0.06944804353459455
20056.0,OH,1992,0.05708111526906667
23762.0,OH,1996,0.04352026700627998
28671.0,OH,2000,0.05110532683212954
31690.0,OH,2004,0.03650160266893443
36596.0,OH,2008,0.030292792792792733
40632.0,OH,2012,0.040059385158829786
45043.0,OH,2016,0.015831848627680944
6145.0,OK,1976,0.08243790734542888
9629.0,OK,1980,0.12527755054341472
12761.0,OK,1984,0.07452004041764915
14405.0,OK,1988,0.05685986793837117
17399.0,OK,1992,0.04882753631924763
20126.0,OK,1996,0.04970531476555573
24096.0,OK,2000,0.07681994905483314
28862.0,OK,2004,0.0724982349225225
38568.0,OK,2008,0.09624239668012047
41467.0,OK,2012,0.062221425277934284
41876.0,OK,2016,-0.053628330583742057
7091.0,OR,1976,0.10486132751636035
10234.0,OR,1980,0.08170383680372062
12970.0,OR,1984,0.07849659072010651
15969.0,OR,1988,0.07311336603722873
19546.0,OR,1992,0.046920192822710316
23974.0,OR,1996,0.057847592992984254
28561.0,OR,2000,0.06602717229023591
31238.0,OR,2004,0.0496992506468632
37067.0,OR,2008,0.029553092797822478
39602.0,OR,2012,0.04717330371780637
46514.0,OR,2016,0.029207416913749507
6838.0,PA,1976,0.09250679022208019
10034.0,PA,1980,0.09601310759148007
13455.0,PA,1984,0.0822005951902196
17150.0,PA,1988,0.07963487566887006
21250.0,PA,1992,0.04969373641572816
24743.0,PA,1996,0.04918797438833056
30393.0,PA,2000,0.06825770623176686
34868.0,PA,2004,0.05523106255485266
41512.0,PA,2008,0.032148984310897744
46018.0,PA,2012,0.04101346001583539
51619.0,PA,2016,0.024552419514906054
6600.0,RI,1976,0.08767303889255107
9898.0,RI,1980,0.1322351864561886
13911.0,RI,1984,0.09182952672474687
18305.0,RI,1988,0.09473117636505002
21329.0,RI,1992,0.04456633527596843
24657.0,RI,1996,0.030897232210050918
30515.0,RI,2000,0.06710728773255004
36207.0,RI,2004,0.04911335187760768
41755.0,RI,2008,0.01737244773646518
46282.0,RI,2012,0.03608685918961263
50555.0,RI,2016,0.00992848295976656
5472.0,SC,1976,0.10255893612734224
7965.0,SC,1980,0.10333841252251008
11059.0,SC,1984,0.1022625336389913
14137.0,SC,1988,0.07702270303214998
17316.0,SC,1992,0.049772658381327606
20755.0,SC,1996,0.05008854034910204
25152.0,SC,2000,0.057295388624994725
27906.0,SC,2004,0.04181288732920185
32962.0,SC,2008,0.0216340193404414
35570.0,SC,2012,0.04393508056232198
40406.0,SC,2016,0.022962606648269546
5726.0,SD,1976,-0.01767026934294047
8269.0,SD,1980,0.005716370712721908
11864.0,SD,1984,0.130874082546945
13962.0,SD,1988,0.04093044061731166
18156.0,SD,1992,0.0676231918146537
22157.0,SD,1996,0.09856710793792445
26832.0,SD,2000,0.05942275042444822
31904.0,SD,2004,0.06446016281863076
40909.0,SD,2008,0.05814645249734873
45179.0,SD,2012,0.012709584865058687
48621.0,SD,2016,-0.0006371783277151488
5664.0,TN,1976,0.10237446477228485
8277.0,TN,1980,0.08622047244094477
11411.0,TN,1984,0.1064675652089595
14857.0,TN,1988,0.07760934213389414
18625.0,TN,1992,0.07547060861531363
22301.0,TN,1996,0.038753551632586536
27073.0,TN,2000,0.04873135773774928
30365.0,TN,2004,0.047900058667218914
34830.0,TN,2008,0.024472027766339277
39296.0,TN,2012,0.044661846022968854
43720.0,TN,2016,0.026532049776943012
6528.0,TX,1976,0.09769631747099372
9983.0,TX,1980,0.11194029850746268
13546.0,TX,1984,0.07721669980119295
15494.0,TX,1988,0.05739439022725712
18956.0,TX,1992,0.05917192825613227
22397.0,TX,1996,0.054174903511249095
28135.0,TX,2000,0.06826897520598396
30688.0,TX,2004,0.030767163778046447
39271.0,TX,2008,0.07163128308683087
43406.0,TX,2012,0.052394229603588416
45654.0,TX,2016,-0.02040553588670746
5866.0,UT,1976,0.09829619921363042
8366.0,UT,1980,0.0797625193598348
10984.0,UT,1984,0.08580466587584024
13218.0,UT,1988,0.05651027096155392
16401.0,UT,1992,0.04758559018906494
20183.0,UT,1996,0.06120195593879796
24266.0,UT,2000,0.05147759771210669
26984.0,UT,2004,0.048370177551575466
33857.0,UT,2008,0.022159828517948288
36140.0,UT,2012,0.05678694660506456
42385.0,UT,2016,0.03691652803601131
6969.0,VA,1976,0.0882261086820737
10567.0,VA,1980,0.12116710875331571
14642.0,VA,1984,0.09751892661719519
18870.0,VA,1988,0.07570402462661052
22398.0,VA,1992,0.04512155289067232
25973.0,VA,1996,0.03746754543638908
32693.0,VA,2000,0.06787522456312267
38164.0,VA,2004,0.056033647859653035
45437.0,VA,2008,0.026314600650523934
49586.0,VA,2012,0.03799376190575865
53611.0,VA,2016,0.013459611712886899
5928.0,VT,1976,0.09757452323643778
8790.0,VT,1980,0.10705289672544072
12335.0,VT,1984,0.09265656834086289
16328.0,VT,1988,0.07350427350427347
19627.0,VT,1992,0.06292986731654482
22883.0,VT,1996,0.04560201050948143
29109.0,VT,2000,0.07365742106816175
34113.0,VT,2004,0.054693297056641166
40904.0,VT,2008,0.04865918063887609
45354.0,VT,2012,0.03583418979102437
50795.0,VT,2016,0.024485185857485714
7424.0,WA,1976,0.08681013028839124
11130.0,WA,1980,0.09590389917290265
14373.0,WA,1984,0.06050320962148592
17613.0,WA,1988,0.06384392365305636
22237.0,WA,1992,0.052439774717213394
25898.0,WA,1996,0.058140960163432176
32909.0,WA,2000,0.05677402780899787
36636.0,WA,2004,0.060591147265726786
44558.0,WA,2008,0.03310920472988643
47739.0,WA,2012,0.06856030083266185
55883.0,WA,2016,0.03794576523031212
6676.0,WI,1976,0.09460567306115752
10034.0,WI,1980,0.09398168338421287
13285.0,WI,1984,0.09666501568433228
16269.0,WI,1988,0.053350598899320145
20179.0,WI,1992,0.0656421630756232
24129.0,WI,1996,0.04840321529437319
29648.0,WI,2000,0.058101356174161234
33421.0,WI,2004,0.03882257863981109
